"","I","DISPATCH","UNIT_SCADA","X1","SETTLEMENTDATE","DUID","SCADAVALUE"
"126","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:25:00","LK_ECHO",0
"127","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:30:00","LK_ECHO",0
"128","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:35:00","LK_ECHO",0
"129","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:40:00","LK_ECHO",0
"130","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:45:00","LK_ECHO",0
"131","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:50:00","LK_ECHO",0
"132","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:55:00","LK_ECHO",0
"133","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:00:00","LK_ECHO",0
"134","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:05:00","LK_ECHO",0
"135","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:10:00","LK_ECHO",0
"136","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:15:00","LK_ECHO",0
"137","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:20:00","LK_ECHO",0
"138","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:25:00","LK_ECHO",0
"139","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:30:00","LK_ECHO",0
"140","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:35:00","LK_ECHO",0
"141","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:40:00","LK_ECHO",0
"142","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:45:00","LK_ECHO",0
"143","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:50:00","LK_ECHO",0
"144","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 11:55:00","LK_ECHO",0
"145","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:00:00","LK_ECHO",0
"146","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:05:00","LK_ECHO",0
"147","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:10:00","LK_ECHO",0
"148","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:15:00","LK_ECHO",0
"149","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:20:00","LK_ECHO",0
"150","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:25:00","LK_ECHO",0
"151","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:30:00","LK_ECHO",0
"152","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:35:00","LK_ECHO",0
"153","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:40:00","LK_ECHO",0
"154","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:45:00","LK_ECHO",0
"155","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:50:00","LK_ECHO",0
"156","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 12:55:00","LK_ECHO",0
"157","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:00:00","LK_ECHO",0
"158","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:05:00","LK_ECHO",0
"159","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:10:00","LK_ECHO",0
"160","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:15:00","LK_ECHO",0
"161","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:20:00","LK_ECHO",0
"162","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:25:00","LK_ECHO",0
"163","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:30:00","LK_ECHO",0
"164","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:35:00","LK_ECHO",0
"165","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:40:00","LK_ECHO",0
"166","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:45:00","LK_ECHO",0
"167","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:50:00","LK_ECHO",0
"168","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 13:55:00","LK_ECHO",0
"169","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:00:00","LK_ECHO",0
"170","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:05:00","LK_ECHO",0
"171","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:10:00","LK_ECHO",0
"172","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:15:00","LK_ECHO",0
"173","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:20:00","LK_ECHO",0
"174","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:25:00","LK_ECHO",0
"175","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 14:30:00","LK_ECHO",0
